course_name,course_name_length,course_url,course_rating,course_enrolled,rating,reviews,course_views,course_hours,course_category,course_discipline,num_of_weeks,course_level,course_language,course_videos,course_teachers
Основы философии: о чем спорят философы сегодня,47,https://www.coursera.org/learn/osnovy-filosofii,4.8,20722,317,28,99271,19,Arts and Humanities,Philosophy,11,Beginner,Russian,90,4
Communication theory: bridging academia and practice,52,https://www.coursera.org/learn/communicationtheory-academia-practice,4.7,5679,48,4,39061,10,Social Sciences,Governance and Society,9,Intermediate,English,64,2
"Итоговый проект специализации ""Основы Digital Маркетинга""",57,https://www.coursera.org/learn/capstone-project,4.5,None,20,5,3015,12,Business,Marketing,4,Intermediate,Russian,7,1
Основы корпоративных финансов (Fundamentals of Corporate Finance),65,https://www.coursera.org/learn/osnovy-korporativnykh-finansov,4.9,25660,333,46,45441,50,Business,Finance,11,Beginner,Russian,95,2
Экономическая социология,24,https://www.coursera.org/learn/ekonomicheskaya-sociologiya,4.9,10433,370,32,7992,14,Social Sciences,Economics,10,None,Russian,80,1
Towards language universals through lexical semantics: introduction to lexical and semantic typology,100,https://www.coursera.org/learn/lexical-semantic-typology,4.5,7051,35,8,6967,18,Language Learning,Other Languages,6,Advanced,English,31,1
Religions and Society in China,30,https://www.coursera.org/learn/religions-society-china,4.5,6780,103,28,4928,16,Arts and Humanities,History,9,Beginner,English,68,1
"Итоговый проект специализации ""Финансовые инструменты для частного инвестора""",77,https://www.coursera.org/learn/financial-instruments-capstone,4.5,None,6,1,1647,17,Business,Finance,6,Beginner,Russian,11,1
Как найти свою первую работу? Практический курс для студентов вузов,67,https://www.coursera.org/learn/findjob,4.7,3933,63,5,6433,5,Personal Development,Personal Development,2,Beginner,Russian,40,1
Discrete Math and Analyzing Social Graphs,41,https://www.coursera.org/learn/discrete-math-and-analyzing-social-graphs,4.7,3798,94,13,107421,8,Math and Logic,Math and Logic,6,Beginner,English,54,3
Менеджмент информационной безопасности,38,https://www.coursera.org/learn/management-informacionnoi-bezopasnosti,4.8,2179,26,3,8820,16,Computer Science,Computer Security and Networks,6,Intermediate,Russian,53,1
Эконометрика (Econometrics),27,https://www.coursera.org/learn/ekonometrika,4.9,27143,475,81,52044,54,Social Sciences,Economics,10,None,Russian,145,1
Структура капитала компании,27,https://www.coursera.org/learn/struktura-kapitala-kompanii,4.8,4640,65,8,3585,18,Business,Finance,4,Beginner,Russian,25,1
Mathematics for economists,26,https://www.coursera.org/learn/mathematics-for-economists,4.5,12272,22,5,19957,35,Math and Logic,Math and Logic,8,Intermediate,English,96,1
Introduction to numerical analysis,34,https://www.coursera.org/learn/intro-to-numerical-analysis,4.8,6625,59,7,116323,16,Computer Science,Algorithms,7,Intermediate,English,71,1
Industrial Organization: Strategy and Competition in Business,61,https://www.coursera.org/learn/industrial-organization,4.9,3892,24,6,9420,28,Business,Business Strategy,10,None,English,91,1
Философия культуры (Philosophy of Culture),42,https://www.coursera.org/learn/filosofiya-kultury,4.7,10631,103,22,13777,18,Arts and Humanities,Philosophy,8,Beginner,Russian,52,1
Introduction to Enumerative Combinatorics,41,https://www.coursera.org/learn/enumerative-combinatorics,4.6,7057,75,27,9211,35,Math and Logic,Math and Logic,8,Intermediate,English,66,1
"Probability Theory, Statistics and Exploratory Data Analysis",60,https://www.coursera.org/learn/probability-theory-statistics,3.9,None,7,3,30149,23,Math and Logic,Math and Logic,6,Beginner,English,79,1
