video_id,distance,num_of_points,normalized_distance,Fearful,Surprised,Happy,Neutral,Disgusted,Sad
166,47.5,56.0,0.8482142857142857,3.5,71.54,0.34,21.45,0.0,0.0
167,47.5,64.0,0.7421875,6.43,57.24,0.54,32.84,0.0,0.0
168,120.0,309.0,0.3883495145631068,68.54,23.65,1.95,5.86,0.0,0.0
169,76.0,136.0,0.5588235294117647,69.76,21.87,3.15,5.07,0.0,0.16
170,72.0,149.0,0.4832214765100672,43.37,49.01,4.68,2.93,0.0,0.0
171,110.5,193.0,0.5725388601036271,5.11,4.72,0.11,70.11,0.0,3.0
172,59.0,92.0,0.6413043478260869,58.93,6.5,0.94,0.5,0.0,31.26
173,24.5,2.0,12.25,88.44,0.12,1.22,5.6,0.0,4.56
174,47.0,64.0,0.734375,54.15,0.0,0.83,7.01,0.06,23.48
175,141.0,227.0,0.6211453744493393,62.89,0.06,0.0,10.39,0.0,26.56
176,115.5,132.0,0.875,7.08,23.2,4.87,46.23,0.23,1.51
177,42.5,53.0,0.8018867924528302,18.04,16.08,3.45,24.12,4.08,2.24
178,106.5,146.0,0.7294520547945206,3.86,12.45,7.84,40.58,0.35,2.65
179,62.0,153.0,0.40522875816993453,3.27,9.58,51.36,27.15,0.33,6.09
180,0.0,0.0,0.0,28.37,1.42,25.53,17.02,0.0,27.66
181,55.5,120.0,0.4625,38.89,2.83,0.22,36.22,0.06,13.56
182,61.5,106.0,0.5801886792452831,35.75,19.37,0.33,39.24,0.0,2.55
183,103.0,213.0,0.4835680751173709,56.68,7.0,0.36,35.19,0.0,0.47
184,63.5,135.0,0.4703703703703704,40.69,13.22,0.0,43.87,0.0,0.34
185,79.0,115.0,0.6869565217391305,4.84,0.26,41.11,19.95,0.0,29.1
186,100.5,247.0,0.4068825910931174,2.28,0.33,3.83,36.54,0.24,47.63
187,96.0,230.0,0.4173913043478261,4.6,0.0,25.05,50.15,0.06,15.16
188,128.0,167.0,0.7664670658682635,0.0,0.0,0.0,0.0,0.0,0.0
189,76.5,104.0,0.7355769230769231,10.66,32.11,0.43,47.08,0.0,6.48
190,82.5,113.0,0.7300884955752213,14.86,15.19,0.0,31.27,0.0,26.82
191,38.5,25.0,1.54,1.19,75.35,2.7,11.57,0.11,7.57
192,55.0,57.0,0.9649122807017544,12.34,48.05,12.87,25.44,0.54,0.08
193,134.0,190.0,0.7052631578947368,24.01,52.19,2.26,12.14,0.07,2.47
194,230.5,204.0,1.1299019607843137,38.0,0.0,0.0,37.11,1.5,16.0
195,239.0,235.0,1.0170212765957447,0.0,0.0,0.0,0.0,0.0,0.0
196,252.5,207.0,1.2198067632850242,20.17,0.0,0.0,57.6,0.28,19.72
197,68.5,115.0,0.5956521739130435,8.67,14.22,0.0,19.28,0.0,55.94
198,67.5,154.0,0.4383116883116883,2.12,2.0,0.0,19.6,0.0,67.71
199,65.5,176.0,0.3721590909090909,1.39,2.78,0.44,21.0,0.0,56.56
200,131.0,59.0,2.2203389830508478,31.46,2.75,0.11,0.97,14.99,0.17
201,197.0,226.0,0.8716814159292036,4.84,81.53,0.71,1.95,9.14,0.18
202,77.0,102.0,0.7549019607843137,2.09,68.06,0.54,3.23,20.1,0.06
203,77.5,199.0,0.3894472361809045,11.5,15.28,22.28,37.22,0.0,12.0
204,76.0,194.0,0.3917525773195876,10.03,4.87,48.1,31.05,0.0,5.78
205,89.5,203.0,0.4408866995073892,3.84,6.11,0.17,88.72,0.0,0.06
206,37.0,19.0,1.947368421052632,62.56,18.67,0.61,8.38,1.11,0.2
207,41.5,45.0,0.9222222222222224,64.57,9.1,0.33,7.53,0.13,0.07
208,0.0,0.0,0.0,88.19,1.31,0.13,1.84,1.05,0.0
209,73.5,117.0,0.6282051282051282,39.59,14.13,0.0,6.09,0.12,16.08
210,24.5,10.0,2.45,71.17,25.51,0.0,2.51,0.0,0.0
211,0.0,0.0,0.0,2.42,24.22,0.0,0.69,13.49,2.42
212,90.0,88.0,1.0227272727272727,42.35,5.05,2.89,10.54,0.11,16.44
213,83.0,78.0,1.064102564102564,28.48,10.4,0.68,2.67,0.34,12.85
214,62.0,65.0,0.953846153846154,9.0,6.17,1.44,6.56,0.06,25.61
215,104.5,150.0,0.6966666666666667,28.53,22.53,0.0,41.48,0.0,0.06
216,62.0,98.0,0.6326530612244898,91.15,1.42,0.0,3.42,0.0,4.01
217,0.0,0.0,0.0,71.83,6.34,2.11,19.72,0.0,0.0
218,82.0,201.0,0.4079601990049751,44.73,30.44,0.0,11.72,0.0,11.83
219,102.5,254.0,0.4035433070866142,0.0,0.0,0.0,0.0,0.0,0.0
220,73.5,171.0,0.4298245614035088,33.29,54.58,0.0,4.85,0.0,6.52
221,145.5,207.0,0.7028985507246377,14.29,5.97,5.45,56.54,0.0,13.78
222,79.0,116.0,0.6810344827586207,3.68,1.88,10.76,54.44,0.09,25.11
223,21.5,4.0,5.375,20.0,17.7,0.0,30.16,0.0,30.82
224,119.0,260.0,0.4576923076923077,1.05,0.17,20.49,25.35,0.0,0.33
225,112.0,251.0,0.4462151394422311,1.61,0.39,50.06,21.67,0.28,1.22
226,135.5,254.0,0.5334645669291339,1.67,0.11,50.67,25.0,0.11,1.11
227,44.5,31.0,1.435483870967742,33.88,63.8,0.7,0.78,0.47,0.16
228,152.0,132.0,1.1515151515151516,29.13,63.93,2.05,3.42,1.17,0.1
229,93.0,162.0,0.5740740740740741,48.75,25.08,8.49,10.61,0.05,0.6
230,51.0,73.0,0.6986301369863014,11.88,0.5,38.4,37.96,4.82,6.32
231,52.0,57.0,0.912280701754386,3.12,0.0,29.73,38.62,0.13,28.4
232,69.5,110.0,0.6318181818181818,11.62,0.34,17.85,53.48,6.51,10.04
233,0.0,0.0,0.0,0.0,75.0,0.0,0.0,3.12,0.0
234,0.0,0.0,0.0,3.23,52.42,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,1.23,26.99,0.61,1.23,0.0,0.0
236,113.5,183.0,0.6202185792349727,31.54,0.0,0.47,27.98,0.06,37.58
237,91.0,146.0,0.6232876712328768,43.97,0.0,1.22,27.05,0.33,23.95
238,155.0,193.0,0.8031088082901554,27.34,0.0,1.16,9.25,0.06,58.32
239,31.0,4.0,7.75,34.33,61.57,0.0,2.24,0.37,0.0
240,55.5,4.0,13.875,0.0,0.0,0.0,0.0,0.0,0.0
241,50.0,7.0,7.142857142857142,2.05,97.95,0.0,0.0,0.0,0.0
242,96.0,162.0,0.5925925925925926,52.21,30.97,3.73,2.84,0.57,8.6
243,133.5,240.0,0.55625,40.78,25.44,8.07,4.34,0.0,20.3
244,63.5,77.0,0.8246753246753247,0.0,0.0,0.0,0.0,0.0,0.0
245,77.5,127.0,0.610236220472441,8.0,82.71,0.28,5.39,0.67,0.17
246,136.0,265.0,0.5132075471698113,4.11,0.28,2.0,6.61,0.83,85.72
247,63.5,109.0,0.5825688073394495,53.36,14.57,0.17,5.08,0.28,10.11
248,44.0,4.0,11.0,7.23,40.05,0.18,0.09,27.39,0.98
249,284.0,80.0,3.55,2.93,0.47,0.33,1.0,2.93,6.05
250,200.5,99.0,2.025252525252525,2.71,1.07,0.0,0.17,2.94,0.11
251,176.5,158.0,1.1170886075949369,80.62,6.16,0.9,8.44,0.0,2.98
252,209.0,262.0,0.7977099236641222,73.24,7.72,1.16,15.03,0.0,2.73
